snr,ua,wa
30,79.86111111111111,79.17763157894737
20,75.69444444444444,75.26315789473685
15,68.05555555555556,67.40131578947368
10,59.02777777777778,58.28947368421053
6,45.13888888888889,43.48684210526316
3,38.19444444444444,36.348684210526315
