Configuration,UA (%),WA (%),F1 Macro (%),ΔF1 (%)
Baseline (No preprocessing),86.0,87.0970695970696,86.00036526624548,0.0
+ Spectral Gating,31.0,28.30128205128205,20.61279822396892,-65.38756704227656
+ Chunking (4s),31.0,28.30128205128205,20.61279822396892,0.0
Full Pipeline (+ Aggregation),33.0,30.224358974358978,21.812699362041464,1.1999011380725442
